"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"409",15,"Tristan Vizcaino",NE,"K34","10","5 out of 5 stars","-"
"410",15,"Juwan Johnson",NO,"TE53","14","4 out of 5 stars","-13"
"411",15,"Craig Reynolds",DET,"RB114","6","4 out of 5 stars","-"
"412",15,"Eric Ebron",FA,"TE54","-","-","-"
"413",15,"Anthony McFarland Jr.",PIT,"RB115","9","3 out of 5 stars","-22"
"414",15,"Ashton Dulin",IND,"WR138","14","4 out of 5 stars","-"
"415",15,"Keelan Cole Sr.",LV,"WR139","6","2 out of 5 stars","-"
"416",15,"Austin Seibert",DET,"K35","6","3 out of 5 stars","-"
"417",15,"Ben Skowronek",LAR,"WR140","7","2 out of 5 stars","-"
"418",15,"Blake Jarwin",FA,"TE55","-","-","-"
"419",15,"Brandon Bolden",LV,"RB116","6","2 out of 5 stars","-31"
"420",15,"Zach Pascal",PHI,"WR141","7","4 out of 5 stars","-57"
"421",15,"Auden Tate",ATL,"WR142","14","4 out of 5 stars","-"
"422",15,"Antoine Wesley",ARI,"WR143","13","2 out of 5 stars","-"
"423",15,"Simi Fehoko",DAL,"WR144","9","3 out of 5 stars","-"
"424",15,"Tarik Cohen",FA,"RB117","-","-","-"
"425",15,"Tyler Huntley",BAL,"QB42","10","2 out of 5 stars","-132"
"426",15,"Ryan Santoso",JAC,"K36","11","4 out of 5 stars","-25"
"427",15,"Jamal Agnew",JAC,"WR145","11","4 out of 5 stars","-"
"428",15,"Kalif Raymond",DET,"WR146","6","3 out of 5 stars","-41"
"429",15,"Geoff Swaim",TEN,"TE56","6","5 out of 5 stars","-4"
"430",15,"Justin Watson",KC,"WR147","8","2 out of 5 stars","-"
"431",15,"Riley Patterson",DET,"K37","6","3 out of 5 stars","-"
"432",15,"Kyle Juszczyk",SF,"RB118","9","2 out of 5 stars","-13"
"433",15,"Tony Jones Jr.",NO,"RB119","14","3 out of 5 stars","-119"
"434",15,"Carlos Hyde",FA,"RB120","-","-","-"
"435",15,"Chris Herndon IV",NO,"TE57","14","4 out of 5 stars","-"
"436",15,"Mack Hollins",LV,"WR148","6","2 out of 5 stars","-"
"437",15,"Justyn Ross",KC,"WR149","8","2 out of 5 stars","-128"
"438",15,"Phillip Dorsett II",HOU,"WR150","6","3 out of 5 stars","-"
"439",15,"Breshad Perriman",TB,"WR151","11","4 out of 5 stars","-45"
"440",15,"JaMycal Hasty",SF,"RB121","9","2 out of 5 stars","-"
"441",15,"Joe Flacco",NYJ,"QB43","10","1 out of 5 stars","-21"
"442",15,"N'Keal Harry",CHI,"WR152","14","3 out of 5 stars","-95"
"443",15,"Jordan Howard",FA,"RB122","-","-","-75"
"444",15,"Jordan Akins",NYG,"TE58","9","4 out of 5 stars","-"
"445",15,"Montrell Washington",DEN,"WR153","9","4 out of 5 stars","-"
"446",15,"Abram Smith",NO,"RB123","14","3 out of 5 stars","-141"
"447",15,"Ryquell Armstead",JAC,"RB124","11","3 out of 5 stars","-"
"448",15,"Will Dissly",SEA,"TE59","11","2 out of 5 stars","-"
"449",15,"Mike Boone",DEN,"RB125","9","3 out of 5 stars","-"
"450",15,"Dez Fitzpatrick",TEN,"WR154","6","3 out of 5 stars","-"
"451",15,"Quinn Nordin",FA,"K38","-","-","-"
"452",15,"Jeremy Ruckert",NYJ,"TE60","10","3 out of 5 stars","-"
"453",15,"Dare Ogunbowale",HOU,"RB126","6","3 out of 5 stars","-"
"454",15,"Freddie Swain",SEA,"WR155","11","4 out of 5 stars","-27"
"455",15,"Qadree Ollison",ATL,"RB127","14","1 out of 5 stars","-47"
"456",15,"Tajae Sharpe",CHI,"WR156","14","3 out of 5 stars","-"
"457",15,"Ihmir Smith-Marsette",MIN,"WR157","7","2 out of 5 stars","-"
"458",15,"Jake Ferguson",DAL,"TE61","9","3 out of 5 stars","-"
"459",15,"Drew Sample",CIN,"TE62","10","2 out of 5 stars","-"
"460",15,"Tyrell Williams",FA,"WR158","-","-","-"
"461",15,"Denzel Mims",NYJ,"WR159","10","1 out of 5 stars","-"
"462",15,"Patrick Ricard",BAL,"RB128","10","4 out of 5 stars","-"
"463",15,"Scotty Miller",TB,"WR160","11","4 out of 5 stars","-"
"464",15,"Demetric Felton Jr.",CLE,"RB129","9","3 out of 5 stars","-"
"465",15,"James O'Shaughnessy",CHI,"TE63","14","5 out of 5 stars","-"
"466",15,"Tyrod Taylor",NYG,"QB44","9","5 out of 5 stars","-48"
"467",15,"Marcus Johnson",SF,"WR161","9","3 out of 5 stars","-"
"468",15,"Le'Veon Bell",FA,"RB130","-","-","-"
"469",15,"Maxx Williams",ARI,"TE64","13","3 out of 5 stars","-"
"470",15,"Tyler Kroft",SF,"TE65","9","4 out of 5 stars","-"
"471",15,"Miles Boykin",PIT,"WR162","9","4 out of 5 stars","-"
"472",15,"Blake Bell",KC,"TE66","8","3 out of 5 stars","-"
"473",15,"Marcedes Lewis",GB,"TE67","14","1 out of 5 stars","-"
"474",15,"Kevin Harris",NE,"RB131","10","4 out of 5 stars","-"
"475",15,"Ian Thomas",CAR,"TE68","13","3 out of 5 stars","-"
