"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"9.3","Tyrie Cleveland","DEN","1.2","","0","0","","0","0","","0","","","0","1.6","","","","6.5",""
"75.1","Henry Ruggs III","LV","8.1","0.9","","","18.8","","5.5","1.9","1","4.6","2.2","6.9","15.9","3.3","","0.7","5.3",""
"-0.5","Adrian Killins Jr.","PHI","","","","-0.5","","","","","","","","","","","","","",""
"202.1","Robert Woods","LA","14.9","10.3","18.9","6.8","15.1","12","6","24.9","","6.1","24.6","12.3","13.5","5.6","18.6","6.9","5.6",""
"22.8","Noah Brown","DAL","0","3.8","1.4","6.3","0","2.5","0","0","0","","1.1","0","5.5","0","2.2","0","0",""
"0.3","JoJo Natson","CLV","0","0","0.3","","","","","","","","","","","","","","",""
"18.7","Jamal Agnew","DET","0","0.5","3.2","0.8","","2.7","0","1.1","","","2.5","0","3.4","2","2.5","0","0",""
"136.8","Jamison Crowder","NYJ","21","","","13.9","21.6","8.3","","","9.6","","2.1","4.6","19.2","1.7","9.6","20.1","5.1",""
"100.3","Josh Reynolds","LA","2.2","4.3","8","4","5.6","11.5","13.2","6.4","","13.4","4.7","6.5","2.6","1.1","1.9","10","4.9",""
"37.4","Van Jefferson","LA","3.6","6.4","0","0","0","1.3","1.9","3.3","","2","7.2","","4.7","0","0","0","7",""
"2.7","Penny Hart","SEA","0","","0","0","","","","","","0","0","0","0","2.7","","0","0",""
"2.4","Tommylee Lewis","NO","","","","","","","","1","","","","","1.6","0","0","","-0.2",""
"61.8","Preston Williams","MIA","5.1","3.1","7.7","2","18.6","8.8","","2.5","14","","","","","","","","",""
"3.3","Daurice Fountain","IND","","0","3.3","0","0","","","","0","","","","","","","","",""
"154.5","Brandon Aiyuk","SF","","3.1","18.6","12.6","5.9","8.2","14.5","19.1","","16.2","","","18","16.9","17.8","3.6","",""
"9.3","Jaydon Mickens","TB","","","0","0","3.2","0","0","6.1","0","","","","","","","","0",""
"80.3","John Brown","BUF","16","16.2","0","6.2","","0","","2.6","13.9","10.2","","","","","","","15.2",""
"105.6","Hunter Renfrow","LV","3.1","5.2","17.4","8.2","4.7","","6.2","10.6","7","4","4.7","10.8","6.7","6.3","0.9","5.9","3.9",""
"122.8","Marquez Valdes-Scantling","GB","17.6","7.9","1","6.5","","4.7","0.9","2.8","18.3","22.9","7","0","-0.4","17.5","0","0","16.1",""
"158.5","Chris Godwin","TB","10.9","","14.9","","","7.3","19.3","","5.6","12.2","14.8","13.7","","3.5","11.6","16.9","27.8",""
"0","Juwann Winfree","GB","","","","","","","","","","0","","","","0","","","",""
"20.1","Quez Watkins","PHI","","","","","0","0","","","","","","","","0.8","11.5","6.7","1.1",""
"102.4","Rashard Higgins","CLV","1.4","0","","","10.6","7.8","14","1.9","","6.3","8","2","18.5","15.8","9.6","","6.5",""
"37.3","Dontrelle Inman","WAS","3.1","2.7","17.3","4.9","0.3","7","0","","","","","2","0","","","","0",""
"265.1","Stefon Diggs","BUF","12.6","25.3","12.9","14.5","15.6","13.6","7.8","12.2","16.3","20.3","","7.4","14.2","24.1","20.2","37","11.1",""
"4.8","Josh Malone","NYJ","","4.8","0","","","","","","","","","","","","","","",""
